Time	Unixtime (s)	Sensor Temperature (°C)
13.12.2019 - 12:04:16	1576235056.790	  nan
13.12.2019 - 12:04:17	1576235057.019	  nan
13.12.2019 - 12:04:17	1576235057.245	  nan
13.12.2019 - 12:04:17	1576235057.473	  nan
13.12.2019 - 12:04:17	1576235057.776	  nan
13.12.2019 - 12:04:18	1576235058.002	  nan
13.12.2019 - 12:04:18	1576235058.227	  nan
13.12.2019 - 12:04:18	1576235058.457	  nan
13.12.2019 - 12:04:18	1576235058.760	  nan
13.12.2019 - 12:04:18	1576235058.985	  nan
13.12.2019 - 12:04:19	1576235059.215	  nan
13.12.2019 - 12:04:19	1576235059.440	  nan
13.12.2019 - 12:04:19	1576235059.743	  nan
13.12.2019 - 12:04:19	1576235059.973	  nan
13.12.2019 - 12:04:20	1576235060.198	  nan
13.12.2019 - 12:04:20	1576235060.427	  nan
13.12.2019 - 12:04:20	1576235060.653	  nan
13.12.2019 - 12:04:20	1576235060.882	  nan
13.12.2019 - 12:04:21	1576235061.107	  nan
13.12.2019 - 12:04:21	1576235061.336	  nan
13.12.2019 - 12:04:21	1576235061.562	  nan
13.12.2019 - 12:04:21	1576235061.791	  nan
13.12.2019 - 12:04:22	1576235062.017	  nan
13.12.2019 - 12:04:22	1576235062.246	  nan
13.12.2019 - 12:04:22	1576235062.471	  nan
13.12.2019 - 12:04:22	1576235062.774	  nan
13.12.2019 - 12:04:23	1576235063.003	  nan
13.12.2019 - 12:04:23	1576235063.229	  nan
13.12.2019 - 12:04:23	1576235063.454	  nan
13.12.2019 - 12:04:23	1576235063.758	  nan
13.12.2019 - 12:04:23	1576235063.987	  nan
13.12.2019 - 12:04:24	1576235064.212	  nan
13.12.2019 - 12:04:24	1576235064.441	  nan
13.12.2019 - 12:04:24	1576235064.745	  nan
13.12.2019 - 12:04:24	1576235064.970	  nan
13.12.2019 - 12:04:25	1576235065.199	  nan
